param_clf__C,param_clf__kernel,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,param_clf__gamma,val_F1,val_F1_std,rank
897.9855655182433,rbf,10000,2,"(1, 1)",scale,0.9510107491754383,0.0012160607891405007,1
60.15308718396453,linear,20000,5,"(1, 2)",,0.9449046364617985,0.0018956367424609333,2
5.132347525675519,linear,20000,1,"(1, 1)",,0.9403781142488006,0.001853239741048398,3
3.8115440886530614,linear,10000,5,"(1, 1)",,0.9376928257400212,0.002136860721429907,4
0.5694995061301531,linear,5000,5,"(1, 2)",,0.9373765911699394,0.001673095842039277,5
4.418441521199722,linear,5000,1,"(1, 1)",,0.9318183398386701,0.00033790577258823004,6
659.871107205407,linear,10000,2,"(1, 2)",,0.9300122019922711,0.002506728784796577,7
493.52962094021007,rbf,10000,2,"(1, 2)",auto,0.9182289595172701,0.0027375418070749464,8
0.05660670699258887,rbf,20000,2,"(1, 2)",auto,0.0,0.0,9
0.001375227506427874,rbf,20000,5,"(1, 2)",scale,0.0,0.0,9
