Model,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,best_val_F1,best_epoch
autoencoder,0.9596651445966514,0.9576537013801756,0.959158027018536,0.9584052738973472,3252.0,135.0,130.0,3053.0,0.9612501993302504,8.0
lstm,0.9497716894977168,0.9721946375372392,0.9227144203581528,0.946808510638298,3303.0,84.0,246.0,2937.0,0.9797201697846252,6.0
rf,0.9199391171993913,0.9611246095105866,0.8699340245051838,0.9132585751978892,3275.0,112.0,414.0,2769.0,0.9057616411934692,
rnn,0.9808219178082191,0.9796046438657044,0.9808356896010052,0.9802197802197802,3322.0,65.0,61.0,3122.0,0.9826607818411096,7.0
svm,0.9622526636225266,0.9669105949729556,0.9547596606974552,0.9607967119822952,3283.0,104.0,144.0,3039.0,0.9510107491754384,
