Model,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,best_val_F1,best_epoch
autoencoder,0.9733071412063784,0.9882273035997284,0.9606073943661972,0.9742216270505524,4058.0,52.0,179.0,4365.0,0.9716563330380869,8.0
lstm,0.982782528310608,0.984992275435886,0.982174295774648,0.9835812672176308,4042.0,68.0,81.0,4463.0,0.9850187265917604,6.0
rf,0.9645250751097758,0.9738313576381122,0.95818661971831,0.9659456461453134,3993.0,117.0,190.0,4354.0,0.963837242772792,
rnn,0.984515830829674,0.9908726625111308,0.9795334507042254,0.9851704293935368,4069.0,41.0,93.0,4451.0,0.9886501377410468,5.0
